Designator,Quantity,Manufacturer Part Number,Comment,Description

"","1","","TELENOR_LOGO",""
"C1, C2, C5","3","GRM155R60J106ME15D","10µF","CAP CER 10UF 6.3V X5R 0402"
"C3, C12","2","GRM155R71C104KA88D","100nF","CAP CER 100nF 16V X7R 0402"
"C6","1","GRM1555C1H330JZ01D","33pF","CAP CER 33PF 50V NP0 0402"
"C7","1","GRM1555C1H270JA01D","27pF","CAP CER 27PF 50V C0G/NP0 0402"
"C8, C9, C10, C11","4","GRM1555C1H470JA01D","47pF","CAP CER 47PF 50V C0G/NP0 0402"
"D1","1","PESD0402-140","PESD0402-140","TVS DIODE 14VWM 40VC 0402"
"D2","1","B72590T8140S160","B72590T8140S160","VARISTOR 28V 2A 0402"
"Fid1, Fid2, Fid3","3","","Fiducial mark","Fiducial Mark"
"J1","1","U.FL-R-SMT-1(10)","U.FL-R-SMT-1(10)","CONN UMC JACK STR 50 OHM SMD"
"L1","1","LQH3NPZ1R5MGRL","1.5µF","FIXED IND 1.5UH 2.04A 88.8 MOHM"
"L2","1","LQG15HN39NJ02D","39nH","FIXED IND 39NH 250MA 1.06 OHM"
"L3","1","LQG15HS82NJ02D","82nH","FIXED IND 82NH 150MA 1.2 OHM SMD"
"LOGO1","1","","EE LOGO","Exploratory Engineering Logo Silkscreen"
"P1","1","","2.54mm","Header, 1x15, Pitch 2.54mm, Male"
"R3","1","RC0402JR-070RL","0.0","RES SMD 0.0OHM JUMPER 1/16W 0402"
"R4","1","MCS04020C1002FE000","10k","RES SMD 10K OHM 1% 1/10W 0402"
"SW1","1","RS-014R05B1-SMA10 RT","RS-014R05B1-SMA10 RT","SWITCH TACTILE SPST-NO 0.05A 12V"
"U1","1","SARA-N210-02B","SARA-N210-02B","uBlox Sara N210"
"U2","1","TPS63031DSKR","TPS63031DSKR","IC REG BUCK BST 3.3V 0.9A 10SON"
"U3","1","","SkySIM Argo 512 M2M SMD","SkySIM® Argo 512 M2M SMD - LTE"
