Supplier Part Number 1,LibRef,Designator,Quantity,Description,Comment,Footprint

"","EE-LOGO","LOGO1","1","Exploratory Engineering Logo Silkscreen","EE LOGO","EE_LOGO"
"","Fiducial","Fid1, Fid2, Fid3","3","Fiducial Mark","Fiducial mark","Fiducial"
"","HDR_1x15_2.54MM_MALE","P1","1","Header, 1x15, Pitch 2.54mm, Male","2.54mm","HDR_1x15_2.54mm_THRU"
"","SARA-N2","U1","1","uBlox Sara N210","SARA-N210-02B","UB-SARA-N2"
"","SKYSIM-ARGO-LTE-MFF2","U3","1","SkySIM® Argo 512 M2M SMD - LTE","SkySIM Argo 512 M2M SMD","QFN127P500X600X90_HS-9N"
"","TELENOR_LOGO","","1","","TELENOR_LOGO","TELENOR_4mmx3.8mm"
"311-0.0JRDKR-ND","RC0402JR-070RL","R3","1","RES SMD 0.0OHM JUMPER 1/16W 0402","0.0","RESC1005X04L"
"311-100KLRDKR-ND","RC0402FR-07100KL","R1","1","RES SMD 100K OHM 1% 1/16W 0402","100k","RESC1005X04L"
"445-173102-1-ND","TFM201610GHM-1R0MTAA","L1","1","FIXED IND 1UH 3.1A 60 MOHM SMD","1uH","INDC2016X10N"
"490-1092-1-ND","LQG15HN39NJ02D","L2","1","FIXED IND 39NH 250MA 1.06 OHM","39nH","INDC1005X04L"
"490-1288-2-ND","GRM1555C1H560JA01D","C4","1","CAP CER 56PF 50V C0G/NP0 0402","56pF","CAPC1005X04L"
"490-1312-6-ND","GRM155R71E103KA01D","C3","1","CAP CER 10NF 25V X7R 0402","10nF","CAPC1005X04L"
"490-2634-6-ND","LQG15HS82NJ02D","L3","1","FIXED IND 82NH 150MA 1.2 OHM SMD","82nH","INDC1005X04L"
"490-3220-6-ND","GRM1555C1H330JZ01D","C6","1","CAP CER 33PF 50V NP0 0402","33pF","CAPC1005X04L"
"490-3261-6-ND","GRM155R71C104KA88D","C2, C12","2","CAP CER 100nF 16V X7R 0402","100nF","CAPC1005X04L"
"490-5869-1-ND","GRM1555C1H270JA01D","C7","1","CAP CER 27PF 50V C0G/NP0 0402","27pF","CAPC1005X04L"
"490-5942-1-ND","GRM1555C1H470JA01D","C8, C9, C10, C11","4","CAP CER 47PF 50V C0G/NP0 0402","47pF","CAPC1005X04L"
"490-7611-6-ND","GRM188R60J226MEA0D","C1","1","CAP CER 22UF 6.3V X5R 0603","22µF","CAPC1608X06L"
"490-13238-6-ND","GRM155R60J106ME15D","C5","1","CAP CER 10UF 6.3V X5R 0402","10µF","CAPC1005X04L"
"495-3426-1-ND","B72590T8140S160","D2","1","VARISTOR 28V 2A 0402","B72590T8140S160","RESC1005X04L"
"541-1.0KJDKR-ND","CRCW04021K00JNED","R2","1","RES SMD 1K OHM 5% 1/16W 0402","1k","RESC1005X04L"
"CKN10392DKR-ND","RS-014R05B1-SMA10 RT","SW1","1","SWITCH TACTILE SPST-NO 0.05A 12V","RS-014R05B1-SMA10 RT","RS-014R05B1-SMA10"
"DMG1012T-7DICT-ND","DMG1012T-7","Q1","1","MOSFET N-CH 20V 630MA SOT-523","DMG1012T-7","SOT50P160X90-3N"
"H11891DKR-ND","U.FL-R-SMT-1(10)","J1","1","CONN UMC JACK STR 50 OHM SMD","U.FL-R-SMT-1(10)","COAXIAL-UFL"
"ISL9120IRTAZ-T7ACT-ND","ISL9120IRTAZ-T7A","U2","1","IC REG BUCK BST ADJ 12TQFN","ISL9120IRTAZ-T7A","QFN50P300X300X75_HS-13L"
"MCS0402-10.0K-CFCT-ND","MCS04020C1002FE000","R4","1","RES SMD 10K OHM 1% 1/10W 0402","10k","RESC1005X04L"
"PESD0402-140CT-ND","PESD0402-140","D1","1","TVS DIODE 14VWM 40VC 0402","PESD0402-140","RESC1005X04L"
